,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
3804,1677490,청춘향전 Cheongchunhyang Jeon,"J Wonder Co.,Ltd.","J Wonder Co.,Ltd.",,53,8,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3805,1459760,Mickey Storm and the Cursed Mask,Triangle Studios,Lion Castle Entertainment,,4,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3806,879520,Ruby & Majesty: Treasure Team,TheWzzard,TheWzzard,,9,1,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
3807,520150,A Midsummer Night's Choice,Choice of Games,Choice of Games,,24,4,0,"0 .. 20,000",0,0,0,0,599,599,0,0
3808,1448800,BioCrisis,Jim,Jim,,49,3,0,"0 .. 20,000",0,0,0,0,299,299,0,0
3809,2278000,Abyss深淵,Nightmore Works,Nightmore Works,,6,0,0,"0 .. 20,000",0,0,0,0,1299,1299,0,0
3810,1802920,Tear of Time: Lost memory,SIMPRA ORG,SIMPRA ORG,,15,0,0,"0 .. 20,000",0,0,0,0,399,399,0,0
3811,1696200,Hell Blasters,PlayShift Games,PlayShift Games,,19,4,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
3812,2161660,Little Witchelsa: Pumpkin Peril,MixoGames Ltd.,MixoGames Ltd.,,2,1,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3813,2441890,Nevultra,Zoblin Multimedia,Zoblin Multimedia,,4,0,0,"0 .. 20,000",0,0,0,0,599,599,0,0
3814,821550,The Dreamlands: Aisling's Quest,The Domaginarium,The Domaginarium,,13,12,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3815,1736490,Lazy Girl,КиКо,КиКо,,14,6,0,"0 .. 20,000",0,0,0,0,49,499,90,0
3816,907380,The Ballad Singer,Curtel Games,Curtel Games,,65,18,0,"0 .. 20,000",23,0,23,0,2299,2299,0,0
3817,1073900,Brukel,Bob De Schutter,Lifelong Games,,198,23,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3818,1597330,Grim Tales: The Final Suspect Collector's Edition,Elephant Games,Big Fish Games,,9,1,0,"0 .. 20,000",0,0,0,0,999,999,0,1
3819,1230200,Pendula Swing - The Complete Journey,Valiant Game Studio,Valiant Game Studio,,37,10,0,"0 .. 20,000",0,0,0,0,1299,1299,0,0
